date,open,high,low,close,volume
2022-12-16,7.02,7.08,6.76,6.9,32655552.0
2022-12-23,6.27,6.3,6.07,6.29,20418981.0
2022-12-30,6.19,6.42,6.19,6.42,27830898.0
2023-01-06,6.4,6.4499,6.09,6.4,30596404.0
2023-01-13,6.84,7.01,6.81,6.96,20981000.0
2023-01-20,6.76,7.06,6.72,7.02,28751729.0
2023-01-27,7.19,7.73,7.14,7.55,37555172.0
2023-02-03,8.54,8.9,8.3732,8.41,64785463.0
2023-02-10,7.79,7.86,7.46,7.51,43042403.0
2023-02-17,9.57,9.71,9.085,9.2,62137799.0
2023-02-24,7.94,8.2,7.87,8.09,41518558.0
2023-03-03,8.0,8.5,8.0,8.33,43229102.0
2023-03-10,7.59,7.68,7.28,7.35,41953579.0
2023-03-17,7.93,8.03,7.84,7.88,20020767.0
2023-03-24,8.29,8.35,8.06,8.2,17939822.0
2023-03-31,8.15,8.48,8.08,8.45,26174838.0
2023-04-06,7.88,8.14,7.79,8.09,23488564.0
2023-04-14,8.53,8.91,8.47,8.81,42364533.0
2023-04-21,8.14,8.22,8.09,8.18,14896712.0
2023-04-28,7.77,8.0,7.62,7.75,24915472.0
2023-05-05,7.44,7.55,7.32,7.41,45848838.0
2023-05-12,9.86,10.01,9.47,9.5,62123944.0
2023-05-19,11.97,12.41,11.52,11.71,150269322.0
2023-05-26,12.84,14.195,12.82,13.65,127751554.0
2023-06-02,14.65,15.03,14.16,14.52,79487612.0
2023-06-09,15.36,15.98,14.82,15.02,94114019.0
2023-06-16,16.87,16.91,16.01,16.3,90696215.0
2023-06-23,13.64,14.14,13.56,14.03,74851018.0
2023-06-30,15.48,15.8,15.23,15.33,42195264.0
2023-07-07,15.23,15.9,15.19,15.34,48273342.0
2023-07-14,16.76,17.0,16.27,16.4,45115040.0
2023-07-21,17.47,17.49,16.0,16.43,63375867.0
2023-07-28,17.21,17.97,16.74,17.81,106125623.0
2023-08-04,18.874,19.08,18.08,18.2,72386045.0
2023-08-11,15.05,15.58,14.91,15.41,56616788.0
2023-08-18,13.88,14.6,13.68,14.4,70169754.0
2023-08-25,14.14,14.6499,14.01,14.53,55668905.0
2023-09-01,15.16,15.365,14.83,15.18,45218573.0
2023-09-08,15.12,15.61,15.085,15.13,33992562.0
2023-09-15,15.77,15.9,15.17,15.33,56271175.0
2023-09-22,14.23,14.415,14.03,14.13,47714543.0
2023-09-29,16.11,16.81,15.96,16.0,77981083.0
2023-10-06,15.56,16.695,15.51,16.61,65946320.0
2023-10-13,18.06,18.16,17.27,17.36,54881953.0
2023-10-20,16.85,16.94,15.81,16.11,63875487.0
2023-10-27,15.48,15.6,14.96,15.07,39913561.0
2023-11-03,18.02,19.0789,17.76,18.89,109302021.0
2023-11-10,18.155,19.72,18.06,19.67,92955800.0
2023-11-17,19.68,20.58,19.6587,20.49,69668728.0
2023-11-24,19.38,19.6,18.93,19.2,39800361.0
2023-12-01,19.93,20.29,19.55,20.27,61493670.0
2023-12-08,17.18,17.92,17.09,17.77,57542134.0
2023-12-15,18.67,19.15,18.04,18.2,93307116.0
2023-12-22,17.7,17.7,17.33,17.41,33693787.0
2023-12-29,17.52,17.64,17.1,17.17,38943466.0
2024-01-05,15.7,16.13,15.66,15.98,57700013.0
2024-01-12,16.68,17.06,16.62,16.76,33952550.0
2024-01-19,16.57,16.78,16.15,16.78,40690625.0
2024-01-26,16.4,16.75,16.34,16.35,28612154.0
2024-02-02,16.34,17.02,16.15,17.02,57672675.0
2024-02-09,25.04,25.11,23.57,24.38,149061975.0
2024-02-16,24.96,25.5,24.39,24.44,65498227.0
2024-02-23,23.53,24.07,22.82,22.97,48840765.0
2024-03-01,25.3,25.69,24.54,24.93,64794407.0
2024-03-08,27.19,27.28,25.81,26.04,84256124.0
2024-03-15,23.85,24.1,23.42,23.49,61420999.0
2024-03-22,24.2,24.48,24.02,24.18,25453029.0
2024-03-28,24.17,24.28,22.94,23.01,70008165.0
2024-04-05,22.42,23.32,22.31,22.96,38716824.0
2024-04-12,22.7,23.2,22.41,22.67,36764458.0
2024-04-19,20.98,21.43,20.33,20.47,39632591.0
2024-04-26,22.05,22.67,21.91,22.52,33119766.0
2024-05-03,23.48,23.64,22.91,23.33,55976409.0
2024-05-10,21.27,21.37,20.5,20.6,59845413.0
2024-05-17,21.78,22.17,21.56,21.76,30032254.0
2024-05-24,20.72,21.15,20.65,21.01,22158712.0
2024-05-31,21.79,22.2,21.31,21.68,44416074.0
2024-06-07,23.24,23.57,23.06,23.31,37149877.0
2024-06-14,23.15,23.72,22.84,23.57,26618284.0
2024-06-21,24.71,26.09,23.53,23.84,69981578.0
2024-06-28,25.28,25.57,25.03,25.33,38886441.0
2024-07-05,26.0,27.25,25.98,27.23,46703729.0
2024-07-12,27.32,28.13,27.28,28.07,30760268.0
2024-07-19,28.31,29.6,28.27,28.58,49581636.0
2024-07-26,27.0,27.34,26.77,27.18,27432224.0
2024-08-02,24.75,24.87,23.75,24.74,56092600.0
2024-08-09,29.28,30.36,29.1,30.01,88131106.0
2024-08-16,31.04,32.75,30.98,32.08,64870638.0
2024-08-23,31.99,32.55,31.62,31.78,34121200.0
2024-08-30,31.05,31.5,30.7,31.48,42388023.0
2024-09-06,30.6,31.04,29.5,30.33,50946800.0
2024-09-13,34.97,36.01,34.89,35.59,49727200.0
2024-09-20,36.01,37.29,35.71,37.2,450290538.0
2024-09-27,36.91,37.47,36.59,36.84,43219122.0
2024-10-04,39.65,40.29,39.4,40.01,62657545.0
2024-10-11,43.4,44.38,42.62,43.51,66206900.0
2024-10-18,42.02,42.99,41.65,42.97,33969020.0
2024-10-25,43.85,45.07,43.65,44.86,50416500.0
2024-11-01,41.93,42.57,41.59,41.92,33722521.0
2024-11-08,55.57,58.48,55.3,58.39,84124034.0
2024-11-15,61.01,66.0,60.91,65.77,155280400.0
2024-11-22,61.6,64.44,61.37,64.35,61381713.0
2024-11-29,65.89,67.16,65.47,67.08,29759044.0
2024-12-06,72.95,76.82,72.28,76.34,93147056.0
2024-12-13,73.49,76.1,72.45,76.07,76036831.0
2024-12-20,72.64,80.66,71.5,80.55,217699660.0
2024-12-27,81.42,82.0,77.93,79.08,66355350.0
2025-01-03,75.39,79.98,75.19,79.89,61975477.0
2025-01-10,66.01,68.2,65.04,67.26,77372421.0
2025-01-17,70.9,72.34,69.95,71.77,54412541.0
2025-01-24,79.05,82.24,78.4401,78.98,77530380.0
2025-01-31,81.0,85.22,80.87,82.49,78296383.0
2025-02-07,111.66,116.3,110.45,110.85,143546364.0
2025-02-14,117.9,120.67,116.8,119.16,65528900.0
2025-02-21,107.68,109.07,100.0,101.35,129063200.0
2025-02-28,79.98,85.18,78.58,84.92,125977400.0
2025-03-07,80.03,85.16,79.15,84.91,105377100.0
2025-03-14,82.97,87.27,82.16,86.24,113985000.0
2025-03-21,85.85,91.07,84.46,90.96,116748700.0
2025-03-28,89.34,89.38,84.1,85.85,91091700.0
2025-04-04,80.07,80.98,71.93,74.01,147323200.0
2025-04-11,87.98,89.55,85.47,88.55,95130700.0
2025-04-17,94.71,95.11,92.27,93.78,83991800.0
2025-04-25,108.05,112.88,106.55,112.78,103933800.0
2025-05-02,118.66,124.42,118.63,124.28,103094300.0
2025-05-09,118.97,119.16,114.9,117.3,81005300.0
2025-05-16,129.23,130.33,126.76,129.52,57003724.0
2025-05-23,120.88,125.54,120.68,123.31,65905836.0
2025-05-30,123.53,131.94,122.75,131.78,185897600.0
2025-06-06,123.73,128.13,121.92,127.72,87175144.0
2025-06-13,133.82,139.99,133.35,137.4,93519043.0
2025-06-20,140.69,142.24,136.74,137.3,87067039.0
2025-06-27,144.87,144.97,130.54,130.74,202598647.0
2025-07-03,134.36,135.62,132.51,134.36,41812500.0
2025-07-11,142.11,144.58,141.47,142.1,52134812.0
2025-07-18,154.86,154.92,151.9,153.52,45771634.0
2025-07-25,155.63,160.39,155.58,158.8,57972341.0
2025-08-01,155.05,158.19,151.06,154.27,61287000.0
2025-08-08,184.74,187.99,184.41,186.96,62657935.0
2025-08-15,179.73,180.0,173.38,177.17,60288736.0
2025-08-22,155.32,163.2,151.77,158.74,102099200.0
2025-08-29,156.98,158.42,153.0,156.71,45270502.0
2025-09-05,157.82,158.97,148.04,153.11,81855900.0
2025-09-12,165.35,171.53,164.01,171.43,54498535.0
2025-09-19,177.07,184.42,176.71,182.39,109129929.0
2025-09-26,179.05,180.12,174.91,177.57,44275800.0
2025-10-03,186.4,186.84,170.77,173.07,105533447.0
2025-10-10,185.17,187.1,173.53,175.44,55194034.0
2025-10-17,177.75,181.59,173.95,178.15,43421500.0
2025-10-24,182.88,186.17,182.85,184.63,34813500.0
2025-10-31,199.2,204.18,197.92,200.47,52697644.0
2025-11-07,173.15,178.7,168.91,177.93,73989700.0
2025-11-14,166.98,177.29,164.5,174.01,62596800.0
2025-11-21,156.01,158.11,147.56,154.85,71346400.0
2025-11-28,167.76,168.8,165.88,168.45,17199500.0
2025-12-05,178.23,182.15,177.16,181.76,32079300.0
2025-12-12,185.81,186.53,177.67,183.57,42427400.0
2025-12-19,186.74,195.0,186.73,193.38,76929400.0
2025-12-26,195.02,196.35,188.62,188.71,26262000.0
2026-01-02,181.3,181.35,166.35,167.86,60634100.0
2026-01-09,177.02,178.72,174.75,177.49,31362900.0
2026-01-16,179.36,182.43,170.01,170.96,59483601.0
2026-01-23,167.27,172.0,166.3,169.6,30285700.0
2026-01-30,150.05,151.0,145.14,146.59,47271042.0
2026-02-06,135.33,137.69,132.35,135.9,62661425.0
2026-02-13,127.9,133.56,126.23,131.41,49438100.0
2026-02-20,132.37,136.21,131.17,135.24,53726811.0
2026-02-27,134.07,138.1,133.98,137.19,59412400.0
2026-03-06,150.44,161.45,150.29,157.16,74980900.0
2026-03-13,153.3,154.56,148.58,150.95,42460600.0
2026-03-20,155.2,156.65,149.09,150.68,48700200.0
2026-03-27,145.88,145.96,141.56,143.06,35790820.0
2026-04-02,143.49,148.51,137.99,148.46,30437000.0
2026-04-07,146.88,150.27,144.45,150.07,27716042.0
