date,open,high,low,close,volume
2024-01-18,94.46,94.58,93.51,93.79,77339100.0
2024-01-19,93.71,94.17,93.26,94.09,47030912.0
2024-01-22,94.82,95.08,94.39,94.65,35756416.0
2024-01-23,93.89,93.99,93.43,93.9,35786747.0
2024-01-24,94.51,94.54,93.1,93.35,54574914.0
2024-01-25,94.0,94.22,93.57,93.96,57019409.0
2024-01-26,93.93,94.07,93.49,93.78,29276900.0
2024-01-29,94.31,95.17,94.12,94.86,38243600.0
2024-01-30,95.48,95.84,94.74,95.72,40151415.0
2024-01-31,96.22,96.91,96.0,96.66,80646722.0
2024-02-01,97.42,98.67,97.19,98.24,84291219.0
2024-02-02,96.27,96.62,95.69,96.07,63823250.0
2024-02-05,94.63,94.85,94.02,94.13,53827400.0
2024-02-06,94.24,95.15,94.21,95.05,33411500.0
2024-02-07,94.57,95.23,94.52,94.59,40120215.0
2024-02-08,94.02,94.3,93.66,94.04,50087700.0
2024-02-09,93.76,94.01,93.66,93.85,27951308.0
2024-02-12,93.9,94.14,93.5,93.96,27890300.0
2024-02-13,92.86,93.06,92.33,92.35,49768500.0
2024-02-14,92.3,93.05,92.23,92.82,44191600.0
2024-02-15,93.56,93.72,93.0,93.3,49598500.0
2024-02-16,92.48,92.85,92.34,92.76,33116772.0
2024-02-20,92.79,93.19,92.72,92.84,24469329.0
2024-02-21,92.83,92.9,92.01,92.18,36404244.0
2024-02-22,92.33,92.76,92.27,92.63,45190700.0
2024-02-23,92.75,94.0,92.75,93.87,38406710.0
2024-02-26,94.0,94.03,93.19,93.59,27855044.0
2024-02-27,93.24,93.47,92.85,92.93,30242000.0
2024-02-28,93.08,93.6,92.9,93.52,34574200.0
2024-02-29,93.82,94.3,93.78,94.18,51038614.0
2024-03-01,93.44,94.51,93.01,94.47,45832788.0
2024-03-04,93.7,94.16,93.68,94.09,23864210.0
2024-03-05,95.23,95.68,94.97,95.43,37721900.0
2024-03-06,95.49,96.17,95.41,95.99,40571600.0
2024-03-07,96.36,96.4,95.48,95.9,39075047.0
2024-03-08,95.8,96.05,95.48,95.73,25023234.0
2024-03-11,95.96,96.01,95.37,95.68,17787915.0
2024-03-12,95.04,95.21,94.69,94.88,29566000.0
2024-03-13,94.5,94.74,94.21,94.42,38270100.0
2024-03-14,93.73,93.75,92.86,92.97,58365600.0
2024-03-15,93.06,93.19,92.79,92.94,34997707.0
2024-03-18,92.73,92.99,92.5,92.66,29519539.0
2024-03-19,92.85,93.27,92.69,92.92,26953132.0
2024-03-20,93.1,93.79,92.29,92.89,43460100.0
2024-03-21,93.27,93.43,92.73,93.09,34276643.0
2024-03-22,94.19,94.21,93.78,93.98,30262284.0
