date,open,high,low,close,volume
2021-10-27,167.73,168.2,166.86,168.12,5623080.0
2021-10-28,168.98,169.25,167.53,168.08,7000717.0
2021-10-29,166.29,166.73,165.64,166.65,7531872.0
2021-11-01,167.38,167.84,166.91,167.52,4975560.0
2021-11-02,167.43,167.63,166.963,167.16,3760736.0
2021-11-03,165.32,165.95,164.38,165.77,9040208.0
2021-11-04,167.51,168.14,167.37,167.65,6656097.0
2021-11-05,168.42,169.94,167.85,169.84,9368948.0
2021-11-08,170.43,170.7,170.06,170.45,4966135.0
2021-11-09,170.73,171.31,170.12,171.29,5781180.0
2021-11-10,173.65,174.65,172.11,173.15,11461770.0
2021-11-11,173.98,174.27,173.74,174.12,5959640.0
2021-11-12,173.51,174.67,173.4,174.45,7894848.0
2021-11-15,174.1,174.59,173.69,174.18,5630808.0
2021-11-16,173.97,174.48,172.86,172.92,8667323.0
2021-11-17,174.24,174.605,173.89,174.5,6523061.0
2021-11-18,173.96,174.36,173.53,173.94,6253445.0
2021-11-19,173.69,174.1,172.235,172.61,8787253.0
2021-11-22,169.9,170.44,168.42,168.74,13100511.0
2021-11-23,167.28,167.6,166.53,167.28,8053370.0
2021-11-24,166.5825,167.44,166.32,167.12,5359457.0
2021-11-26,168.6,168.64,166.37,166.85,9605192.0
2021-11-29,166.84,167.255,166.38,166.62,7394940.0
2021-11-30,167.77,169.01,165.37,165.5,12925270.0
2021-12-01,166.84,167.47,166.06,166.16,7825484.0
2021-12-02,165.89,165.9405,164.63,165.24,9604118.0
2021-12-03,165.49,166.93,165.0,166.63,9507938.0
2021-12-06,166.14,166.8,165.93,166.22,4813624.0
2021-12-07,166.2,167.08,166.18,166.81,4900713.0
2021-12-08,166.51,166.96,166.28,166.9,4288935.0
2021-12-09,166.54,166.58,165.65,165.88,4913771.0
2021-12-10,166.72,166.915,166.18,166.58,6450614.0
2021-12-13,166.9,167.255,166.67,167.0,6610673.0
2021-12-14,165.34,166.14,165.16,165.44,8637879.0
2021-12-15,165.27,166.4,163.8,166.15,14231184.0
2021-12-16,167.01,168.18,166.94,168.16,11186197.0
2021-12-17,168.73,169.125,167.78,167.8,9867792.0
2021-12-20,167.88,168.0,167.06,167.09,6972959.0
2021-12-21,167.69,167.7754,166.74,167.02,4548504.0
2021-12-22,167.58,168.64,167.11,168.59,4663491.0
2021-12-23,168.69,169.16,168.01,168.97,4551124.0
2021-12-27,168.96,169.42,168.78,169.37,4763297.0
2021-12-28,169.33,169.65,168.62,168.64,4545714.0
2021-12-29,167.36,168.69,167.28,168.59,5889714.0
2021-12-30,168.43,169.81,168.37,169.8,5426311.0
2021-12-31,170.53,171.04,170.04,170.96,7039330.0
2022-01-03,168.86,169.01,168.0,168.33,9014423.0
2022-01-04,168.9,169.72,168.73,169.57,6965598.0
2022-01-05,170.62,170.93,168.9,169.06,8712885.0
2022-01-06,167.16,167.75,166.86,166.99,10902661.0
2022-01-07,167.37,168.01,166.86,167.75,8191936.0
2022-01-10,167.36,168.3,167.31,168.26,7026075.0
2022-01-11,168.44,170.31,168.37,170.29,8368980.0
2022-01-12,170.19,170.75,170.01,170.74,6280745.0
2022-01-13,170.09,170.22,169.27,170.16,7034202.0
2022-01-14,170.22,170.56,169.4796,169.67,7865900.0
2022-01-18,169.6401,170.005,169.09,169.39,9323046.0
2022-01-19,170.3919,172.1895,170.2,172.08,15784477.0
2022-01-20,172.31,172.5999,171.585,171.65,9570477.0
2022-01-21,172.04,172.12,170.74,171.09,10982517.0
2022-01-24,171.78,172.14,170.85,172.03,15735970.0
2022-01-25,171.95,173.1499,171.775,172.58,17382097.0
2022-01-26,171.39,171.725,169.48,169.79,17609503.0
2022-01-27,168.02,169.09,167.325,167.6,15875306.0
2022-01-28,166.56,167.46,166.365,167.1,9782484.0
2022-01-31,167.79,168.14,167.46,168.09,8539265.0
2022-02-01,168.57,168.85,167.87,168.23,9763909.0
2022-02-02,168.34,169.12,168.155,168.84,9085285.0
2022-02-03,168.31,168.82,167.03,168.6,10650800.0
2022-02-04,168.04,169.1,167.99,168.86,9450861.0
2022-02-07,169.45,170.3,169.19,170.11,7796866.0
2022-02-08,170.1,170.78,169.95,170.63,5795993.0
2022-02-09,170.68,171.42,170.55,171.21,8002766.0
2022-02-10,170.5201,171.99,170.46,170.56,10693524.0
2022-02-11,170.75,174.2,170.71,173.81,25741494.0
2022-02-14,173.78,175.0,173.68,174.74,13647704.0
2022-02-15,173.1,173.34,172.39,173.08,12607006.0
2022-02-16,173.49,174.86,173.48,174.86,12736069.0
2022-02-17,176.7,177.53,176.39,177.25,18517546.0
2022-02-18,177.07,177.25,176.51,177.12,12601363.0
2022-02-22,177.67,178.07,176.8175,177.49,14960494.0
2022-02-23,177.39,178.39,177.36,178.29,11772201.0
2022-02-24,182.59,182.6,175.27,177.14,32725999.0
2022-02-25,176.42,176.79,175.79,176.55,11482929.0
2022-02-28,178.86,178.99,176.5,178.38,16055844.0
2022-03-01,179.0456,181.76,179.03,181.62,21942127.0
2022-03-02,180.13,180.71,178.788,179.73,19722992.0
2022-03-03,179.96,181.3,179.5,180.8,14826051.0
2022-03-04,182.1137,183.98,181.36,183.68,22412092.0
2022-03-07,184.45,186.64,184.22,186.41,27941785.0
2022-03-08,188.35,193.3,188.26,191.51,47309428.0
2022-03-09,186.04,187.225,184.76,185.82,26832271.0
2022-03-10,186.8799,187.38,184.99,186.4,18455213.0
2022-03-11,183.7399,185.78,183.44,185.09,14824715.0
2022-03-14,183.03,183.29,181.95,182.3,13186389.0
2022-03-15,179.1,180.27,178.01,178.89,16962273.0
2022-03-16,179.13,180.115,176.87,180.01,17548090.0
2022-03-17,181.16,182.03,180.65,180.89,10954139.0
2022-03-18,179.93,180.93,179.035,179.3,13984452.0
2022-03-21,179.33,181.29,179.32,180.67,10582224.0
2022-03-22,179.6,179.71,178.3231,179.36,9601751.0
2022-03-23,180.29,181.89,179.76,181.81,12557272.0
2022-03-24,182.35,183.51,181.77,183.13,10970070.0
2022-03-25,181.81,183.13,181.35,182.38,7914035.0
2022-03-28,180.38,181.325,178.85,179.06,9489725.0
2022-03-29,177.02,179.33,176.69,179.14,10458761.0
2022-03-30,179.76,180.92,179.6801,180.58,8357926.0
2022-03-31,180.91,181.96,180.56,180.65,9825198.0
2022-04-01,179.5501,180.4599,178.98,179.5,13034395.0
