date,close
2024-11-13,512.25
2024-11-14,508.69
2024-11-15,496.57
2024-11-18,500.02
2024-11-19,503.46
2024-11-20,503.17
2024-11-21,504.98
2024-11-22,505.79
2024-11-25,506.59
2024-11-26,509.31
2024-11-27,505.3
2024-11-29,509.74
2024-12-02,515.29
2024-12-03,516.87
2024-12-04,523.26
2024-12-05,521.81
2024-12-06,526.48
2024-12-09,522.38
2024-12-10,520.6
2024-12-11,529.92
2024-12-12,526.5
2024-12-13,530.53
2024-12-16,538.17
2024-12-17,535.8
2024-12-18,516.47
2024-12-19,514.17
2024-12-20,518.66
2024-12-23,522.87
2024-12-24,529.96
2024-12-26,529.6
2024-12-27,522.56
2024-12-30,515.61
2024-12-31,511.23
2025-01-02,510.23
2025-01-03,518.58
2025-01-06,524.54
2025-01-07,515.18
2025-01-08,515.27
2025-01-10,507.19
2025-01-13,505.56
2025-01-14,505.08
2025-01-15,516.7
2025-01-16,513.08
2025-01-17,521.74
2025-01-21,524.8
2025-01-22,531.51
2025-01-23,532.64
2025-01-24,529.63
2025-01-27,514.21
2025-01-28,521.81
2025-01-29,520.83
2025-01-30,523.05
2025-01-31,522.29
2025-02-03,518.11
2025-02-04,524.47
2025-02-05,526.85
2025-02-06,529.6
2025-02-07,522.92
2025-02-10,529.25
2025-02-11,527.99
2025-02-12,528.3
2025-02-13,535.9
2025-02-14,538.15
2025-02-18,539.37
2025-02-19,539.52
2025-02-20,537.23
2025-02-21,526.08
2025-02-24,519.87
2025-02-25,513.32
2025-02-26,514.56
2025-02-27,500.27
2025-02-28,508.17
2025-03-03,497.05
2025-03-04,495.55
2025-03-05,502.01
2025-03-06,488.2
2025-03-07,491.79
2025-03-10,472.73
2025-03-11,471.6
2025-03-12,476.92
2025-03-13,468.34
2025-03-14,479.66
2025-03-17,482.77
2025-03-18,474.54
2025-03-19,480.89
2025-03-20,479.26
2025-03-21,480.84
2025-03-24,490.66
2025-03-25,493.46
2025-03-26,484.38
2025-03-27,481.62
2025-03-28,468.94
2025-03-31,468.92
2025-04-01,472.7
2025-04-02,476.15
2025-04-03,450.66
2025-04-04,422.67
